ID,Question,Answer
0,Which community_centre is closest to where 101 Trail meets 11th Street?,Huntington Beach Masonic Center
1,Which biergarten is closest to the corner of 10 and 10th Street West?,Babi's Beer Emporium
2,Which coworking_space;daycare is nearest to the intersection of 105 and 117th Street East?,Collab&Play
3,Which auditorium is closest to the intersection of 10th Court and 11th Street?,CSL Rm 333 Auditorium
4,Which boat_rental is nearest to the intersection of 11th Street and 10th Street?,Bluewater Sailing
5,Which car_rental is closest to the corner of 10th East Alley and 10?,Hertz Thrify
6,Which fast_food is closest to where 110th Street East meets 10th Street West?,Jollibee
7,Which atm is closest to the intersection of 11th Street and 10th Street?,Wells Fargo
8,Which check_cashing is closest to the junction of 11th Street and 11th Avenue?,Nix / Payday Today Check Cashing
9,Which dojo is nearest to the corner of 107 and 110th Street West?,Caique Jiu Jitsu
10,Which coffee is closest to the intersection of 11th Street and 10th Street?,Bikes and Brew
11,Which casino is closest to the junction of 10th Street West and 115th Street East?,The Commerce Casino
12,Which coworking_space is nearest to the corner of 11th Court and 105th Street East?,Kernville Cowork
13,Which flight_school is closest to where 111th Street East meets 10th Street?,South Bay Aviation
14,Which college is closest to the junction of 10th Street West and 10th Street West?,Distance Education Center
15,Which bar is nearest to the intersection of 11th Court and 11th Street?,The Villa
16,Which family_planning is closest to the intersection of 10th Avenue and 10th Place?,West Coast Surrogacy
17,Which cinema is nearest to the intersection of 11th Street and 11th Place?,Cinemark
18,Which animal_training is closest to where 10th Street West meets 116th Street East?,Zoom Room
19,Which apartment is closest to where 105th Street East meets 10 Double?,Regelin Hall
20,Which bear_box is closest to the intersection of 11 and 114th Street?,Gould Mesa Trail Camp
21,Which bar is closest to the junction of 10th Court and 10th Avenue?,The Villa
22,Which car_rental is closest to the junction of 111 and 11th Street?,Hertz Thrify
23,Which Comfort Shoe Store is nearest to the intersection of 11th Court and 11th Avenue?,Feet For Life
24,Which check_cashing is closest to the junction of 10th Avenue and 11th Street?,Nix / Payday Today Check Cashing
25,Which charity_donation is closest to the junction of 10th Street and 11th Street?,Savers Donation Area
26,Which Casting_Center is nearest to the intersection of 111th Street and 11?,Disneyland Resort Casting Center
27,Which biergarten is closest to the corner of 10th Street and 10th Street West?,Helix Brewing Co
28,Which art_work is closest to the intersection of 114th Street and 10th West?,Stanley
29,Which dojo is closest to the intersection of 10th Street West and 10th Street West?,Caique Jiu Jitsu
30,Which archive is nearest to the intersection of 100th Street West and 11th Street?,Academy of Motion Picture Arts and Sciences Film Archive
31,Which ferry_terminal is closest to the corner of 11 and 10th Street?,Catalina Express Long Beach Downtown Landing
32,Which bicycle_repair_station is closest to the intersection of 10th Street and 10th West?,Pico Rivera Golf
33,Which computer_lab is closest to where 10th Avenue meets 10th Avenue?,Computer Lab
34,Which binoculars is closest to the corner of 103 and 10th Street West?,Double Peak Telescope
35,Which auditorium is closest to the junction of 1 and 100th Street West?,CSL Rm 333 Auditorium
36,Which coworking_space is nearest to the junction of 10th Street and 10th Street West?,GoBuild
37,Which college is nearest to the corner of 10th Street West and 112?,Distance Education Center
38,Which coffee is closest to where 10th Avenue meets 10th Street West?,Bikes and Brew
39,Which check_cashing is closest to the corner of 10th Street and 10th Court?,Nix / Payday Today Check Cashing
40,Which family_planning is nearest to the junction of 10th Street and 11R?,West Coast Surrogacy
41,Which courthouse;library is closest to the junction of 10th Street West and 10th Street West?,Imperial County Courthouse;Imperial County Law Library
42,Which canteen is closest to where 10th Street meets 10th Street East?,The Anteatery
43,Which courthouse;library is closest to the junction of 115th Street and 10th Avenue?,Imperial County Courthouse;Imperial County Law Library
44,Which community_centre is closest to where 115th Street meets 10th Street West?,Huntington Beach Masonic Center
45,Which Attorneys is closest to the corner of 10th Street and 10th Street?,Law Office of Raymond Perez
46,Which boat_rental is closest to the intersection of 10th Street West and 110?,Chablis Cruises
47,Which auditorium is closest to the corner of 10th Street West and 11th Street?,CSL Rm 333 Auditorium
