ID,Question,Answer
70,What bars are within 50m of The Holding Company?,Cheswick’s West; Tony’s Newport Cafe; Sunshine Company
76,What banks can be found within 50m of Sesloc Federal Credit Union?,Chase
189,Which bars are within 50m of South Park Brewing?,Hamilton's Tavern
308,What are the banks within 50m of Citibank?,Union Bank
376,What banks are located within 50m of Opus Bank?,PacTrans Federal Credit Union
516,What are the atms located within 50m of Armed Forces Bank?,Navy Federal
713,Which banks are within 50m of Union Bank?,Pacific Western Bank
724,Which banks are within 50m of State Bank of India (California)?,Schools First Credit Union
732,What banks are within 50m of Wells Fargo?,Woori
854,What are the arts_centres within 50m of Beyond Baroque Literary/Arts Center?,Social and Public Art Resource Center
904,What banks can be found within 50m of Pacific Western Bank?,Wells Fargo
977,What bars can be found within 50m of Til-Two Club?,Recognize Cocktails
980,What are the bars within 50m of Bonitas Bar and Grill?,Dumonts
1050,What bars can be found within 50m of One Door North?,Bluefoot; Modern Times: North Park Flavordome
1072,What are the atms within 50m of Bank of America?,Wells Fargo; Chase
1075,What bars can be found within 50m of Precinct DTLA?,Chatterbox
1201,Which bars are within 50m of Small Bar?,Park & Rec
1234,What bars can be found within 50m of Oscars Cocktail Bar?,Rainbow Bar and Grill
1242,What are the bars within 50m of San Diego Eagle?,Mike Hess Brewing
1292,Which bars are within 50m of Scarlet Lady Saloon?,Stage 21
1360,What are the banks located within 50m of Sesloc Federal Credit Union?,Chase
1376,Which banks are within 50m of U.S. Bank?,Western Union
1589,What bars are within 50m of Precinct DTLA?,Chatterbox
1594,What bars can be found within 50m of The Holding Company?,Cheswick’s West; Tony’s Newport Cafe; Sunshine Company
1691,What are the bars located within 50m of The Office?,Coin-Op Game Room
1728,What are the bars within 50m of PB Shore Club?,Ale House
1752,What bbqs can be found within 50m of 12?,11
1793,What bars can be found within 50m of The Hatch Rotisserie & Bar?,Diablo Pase Wines
1807,What bars can be found within 50m of JuneShine?,Pariah Brewing Company; Eppig Brewing North Park
1835,What bars are within 50m of Johnny WAHOO! Golf Bar?,Double Black Lounge Bar & Kitchen
1868,What bars can be found within 50m of JuneShine?,Pariah Brewing Company; Eppig Brewing North Park
1892,What bars are located within 50m of Star Club?,Gaslamp Tavern
1896,What banks are within 50m of Wells Fargo Home Mortgage?,Torrey Pines Bank
1930,What benchs are located within 50m of Chang Memorial Bench?,Mason Memorial Bench; Sikand Memorial Bench; Chien Memorial Bench
1946,What atms are within 50m of Bank of America?,Wells Fargo; Chase
1991,What banks exist within 50m of Wells Fargo?,Citibank
2008,What are the bars within 50m of Revolver Video Bar?,Fiesta Cantina
2124,Which bars are within 50m of Urban Bar & Grill?,analog bar
2147,Which bars are within 50m of Hong Kong Nite Club?,El Dorado
2208,What are the bars located within 50m of The Falls?,Spring St Bar
2215,What bars are located within 50m of Stone Brewing Tap Room?,Fairweather Rooftop Bar
2279,What bars are within 50m of The Sycamore Den?,The Ould Sod
2291,What bars exist within 50m of Hong Kong Nite Club?,El Dorado
2320,What are the banks within 50m of Citibank?,Chase
2330,Which atms are within 50m of Bank of America?,Wells Fargo; Chase
2384,What bars are within 50m of Garage Kitchen & Bar?,The Shout! House
2387,What bars can be found within 50m of Toronado?,Redwing Bar and Grill
2554,What are the bars within 50m of The Library?,Mother's Tavern
2575,What banks can be found within 50m of SLO Credit Union?,Pacific Western Bank
2581,What are the banks within 50m of First Citizens Bank?,City National Bank
2592,What bars exist within 50m of The Flamingo?,Romano's
2717,What bars are located within 50m of Erics?,La Barrita Bar
2778,Which bars are within 50m of Fernside?,The South Park Abbey
2783,What bars exist within 50m of The Flamingo?,Romano's
2826,What bars are located within 50m of Carthay Circle Lounge?,1901
2827,What bars are within 50m of Time Out Sports Tavern?,Beer Company
2894,What bars can be found within 50m of BarrelHouse Brewing Co.?,Creeky Tiki
2929,What atms can be found within 50m of Bank of America?,Chase; Wells Fargo
2934,What bars exist within 50m of The Regal?,Petes Place
2945,What bars exist within 50m of Bar 107?,Bar Ama
3245,What bars are located within 50m of W at Worthington's?,Downtown Experiment
3247,Which banks are within 50m of Pacific Western Bank?,Wells Fargo
3360,What are the bars within 50m of South Park Brewing?,Hamilton's Tavern
3394,What bars are within 50m of The Holding Company?,Cheswick’s West; Tony’s Newport Cafe; Sunshine Company
3483,What banks are within 50m of U.S. Bank?,Chase
3537,What are the banks within 50m of Banamex?,HSBC (Global)
3566,What bars are within 50m of San Diego Eagle?,Mike Hess Brewing
3661,What atms are located within 50m of Bank of America?,Wells Fargo; Chase
3725,What are the bars within 50m of Menagerie?,W at Worthington's; Downtown Experiment; Raincross Pub
3742,What bars can be found within 50m of Carthay Circle Lounge?,1901
3895,What are the atms within 50m of Armed Forces Bank?,Navy Federal
3912,What bars exist within 50m of Gossip Grill?,Uptown Tavern
3917,Which bars are within 50m of The Hatch Rotisserie & Bar?,Diablo Pase Wines
4015,Which bars are within 50m of Baja Sharkeez?,The Red Piano
4059,What are the bars located within 50m of Scarlet Lady Saloon?,Stage 21
4088,What are the banks within 50m of Bank of America?,Western Union
4115,What bars are located within 50m of L.P.?,Meleose Rooftop
4137,What are the banks within 50m of U.S. Bank?,Chase
4142,Which bars are within 50m of Toronado?,Redwing Bar and Grill
4212,What bars can be found within 50m of Hair Of The Dog?,The Tonga Hut
4222,What banks can be found within 50m of Coldwell Banker?,Wells Fargo
4275,What are the banks within 50m of First Citizens Bank?,City National Bank
4284,What bars exist within 50m of Pixels?,Raincross Pub
4336,What bars exist within 50m of Bottlecraft?,Bar Pink; Califronia Tap Room; True North
4362,What are the bars located within 50m of The Falls?,Spring St Bar
4393,What banks are within 50m of Coldwell Banker?,Wells Fargo
4494,What banks are located within 50m of City National Bank?,Union Bank
4497,What are the bars located within 50m of Lowboy?,Gold Room
4509,Which bars are within 50m of Golden Gopher?,broken shaker
4565,What are the atms within 50m of Bank of America?,Chase; Wells Fargo
4785,What are the bars within 50m of Board Room?,Cherrobomb
4801,What bars are located within 50m of Bonitas Bar and Grill?,Dumonts
4953,What are the bbqs located within 50m of 9?,8
5033,What bars are within 50m of Blackie's?,Beach Ball
5131,What bars exist within 50m of Garage Kitchen & Bar?,The Shout! House
5214,What are the banks within 50m of First Financial Credit Union?,Simplicity Bank
5316,What atms are located within 50m of Bank of America?,Wells Fargo
5406,What banks are within 50m of State Bank of India (California)?,Schools First Credit Union
5410,What bars can be found within 50m of The Luau?,Tommys Place
5515,What bars are located within 50m of Lowboy?,Gold Room
5521,What are the bars within 50m of Fernside?,The South Park Abbey
5565,What banks are located within 50m of Wells Fargo Home Mortgage?,Torrey Pines Bank
5581,What atms can be found within 50m of Wells Fargo?,Chase
5592,What bars are within 50m of Johnny WAHOO! Golf Bar?,Double Black Lounge Bar & Kitchen
5637,What atms are located within 50m of Bank of America?,Wells Fargo; Chase
5648,What are the banks within 50m of Union Bank?,Citibank
5700,What bars are located within 50m of Revolver Video Bar?,Fiesta Cantina
5726,What bars are located within 50m of BarrelHouse Brewing Co.?,Bull's Tavern; Creeky Tiki
5980,What bars exist within 50m of Pixels?,Menagerie; W at Worthington's; Raincross Pub
6039,What are the banks within 50m of City National Bank?,Union Bank
6060,What banks exist within 50m of Bank of America?,Citibank
6069,What atms can be found within 50m of Wells Fargo In-branch ATM?,Wells Fargo External ATM
6071,What are the bars within 50m of Bottlecraft?,Bar Pink
6080,What atms are located within 50m of Bank of America?,Wells Fargo; Chase
6199,What banks are located within 50m of Wescom?,University Credit Union
6201,What bars can be found within 50m of PB Shore Club?,Ale House
6237,Which bars are within 50m of The Holding Company?,Cheswick’s West; Tony’s Newport Cafe; Sunshine Company
6302,What benchs exist within 50m of Chang Memorial Bench?,Mason Memorial Bench; Sikand Memorial Bench; Chien Memorial Bench
6416,What are the bbqs located within 50m of 18?,19
6562,What banks are within 50m of Citibank?,Bank of the West
6600,Which bars are within 50m of Hair Of The Dog?,Desert Fox Bar
6612,What are the banks located within 50m of U.S. Bank?,Chase
6635,What bbqs exist within 50m of 18?,19
6670,What bars are within 50m of Mina Lounge?,Side Bar
6849,What bars exist within 50m of The Library?,Mother's Tavern
6875,What are the banks within 50m of Telesis Community Credit Union?,Premier America Credit Union
6879,Which bars are within 50m of One Door North?,Modern Times: North Park Flavordome
