Question,Answer
1,How far is 10 from 14th St & F St?,22872.87 meters
2,How far is 20th & Wilshire from 17th-Freeman?,76411.44 meters
3,How far is 1st & Vignes from 108C 208C 308C?,53943.50 meters
4,How far is 173 from 20th & Delaware?,75707.99 meters
5,How far is 2 from 12?,325996.12 meters
6,How far is 1 from 10?,219363.04 meters
7,How far is 167 Cafe from 15?,373761.01 meters
8,How far is 12 from 1?,414515.97 meters
9,How far is 1st - Magnolia from 10th St W & Ave J?,70884.11 meters
10,How far is 103? from 1-Stop?,428212.19 meters
11,How far is 1st & Los Angeles;1st Street & Los Angeles Street (Westbound) from 15?,381005.50 meters
12,How far is 18 from 20th & Pearl?,21694.66 meters
13,How far is 15th St Surf and Supply from 17th-Williams?,22481.11 meters
14,How far is 120th & Compton from 1st & Evergreen?,16372.98 meters
15,How far is 10 post barrel cactus from 2020 replica LOUIS VUITTON HandBags Reviews?,211610.91 meters
16,How far is 12th Tee from 17 Tee?,232825.31 meters
17,How far is 12 - S cor S2 T12N R1E SBM from 1-800-FLOWERS?,204544.45 meters
18,How far is 120th & Slater from 1?,19619.74 meters
19,How far is 15 from 22?,163147.51 meters
20,How far is 120th & San Pedro from 14d?,75363.69 meters
21,How far is 1 from 2?,162813.35 meters
22,How far is 141 from 12th & Imperial Transit Center?,290010.90 meters
23,How far is 18 Ten from 18?,346563.84 meters
24,How far is 19 from 2?,40292.23 meters
25,How far is 17 from 1st Hole?,108977.01 meters
26,How far is 1st & Soto from #156?,14418.57 meters
27,How far is 1st & Lorena from 14?,56208.58 meters
28,How far is 1st-Shannon from 17th-Concord?,9059.35 meters
29,How far is 210-084 from 2218 Bunker Ave?,49016.40 meters
30,How far is 14th hole from 12?,501884.24 meters
31,How far is 2 from 15 Degrees C?,2575.62 meters
32,How far is 102 from 1st & Mission?,18617.47 meters
33,How far is 14 from 13?,163801.53 meters
34,How far is 1st Street & Hill Street from 18th Street Cafe?,26324.42 meters
35,How far is 15 from 17th-Orange?,439661.06 meters
36,How far is 10 - SW cor GL6 S2 T12N R1E SBM from 2?,145913.06 meters
37,How far is 10 - SW cor GL6 S2 T12N R1E SBM from 1st-Cooper?,226828.83 meters
38,How far is 1919 Cafe from 1?,55167.30 meters
39,How far is 1919 Cafe from 19 Sports Bar & Grill?,98797.37 meters
40,How far is 17th-Cabrillo Park from $300 Data Recovery?,78521.72 meters
41,How far is 23 from 1-800-Flowers - Conroy's?,214801.45 meters
42,How far is 15 Degrees C from 1st & Central?,313694.24 meters
43,How far is 17 from 1st Street?,202591.19 meters
44,How far is 15 from 21?,177091.13 meters
45,How far is 17th-Cabrillo Park from 1st & Lorena?,54088.13 meters
46,How far is 1st & Cummings from 105??,294338.40 meters
47,How far is 14th & Santa Monica from 1190?,203779.61 meters
48,How far is 117 from 1?,538714.13 meters
49,How far is 14c from 17th-Howland?,87969.97 meters
50,How far is 1st-B from 1st Lady?,55512.22 meters
51,How far is 12ES from 20th & Washington?,16157.96 meters
52,How far is 2 from 04_17 LA-SL Solomons Knob?,396717.00 meters
53,How far is 103rd Street/Watts Towers from 1st-Newhope?,43837.08 meters
54,How far is 1st-Yorba from 1?,48392.46 meters
55,How far is 17th-Tustin from 15?,440311.95 meters
56,How far is 1739 Public House from 18th & Figueroa?,9326.29 meters
57,How far is 17th-Penn from 18 Basket?,123687.91 meters
58,How far is 16? from 20th & D Book Pantry?,483321.56 meters
59,How far is 12th & Grand from 10?,335126.39 meters
60,How far is 19 Basket from 1st & New Hampshire?,62821.72 meters
61,How far is 12W02-270E from 15th St W & Ave J-3?,49748.55 meters
62,How far is 1st-Ross from 21?,47521.46 meters
63,How far is 2 from 17th Street Cafe?,227209.89 meters
64,How far is 1st-Pacific from 12W02-270E?,81935.06 meters
65,How far is 173 from 12?,393997.60 meters
66,How far is 1st-Standard from 1?,167866.62 meters
67,How far is 21 Choices from 17th-Orange?,65375.54 meters
68,"How far is 12 - S cor S2 T12N R1E SBM from 12,14?",426110.93 meters
69,How far is 16A from 17th-Bristol?,158224.21 meters
70,How far is 17th-Pomona from 1?,68838.90 meters
71,How far is 170th St. E. & Ave. K-8 from 17th-Newport?,139111.72 meters
72,"How far is 111 from 1112 W Garvey Ave, Monterey Park, CA 91754?",144899.46 meters
73,How far is 2 from 17th-Holt?,167194.49 meters
74,How far is 11 from 108 Motel?,29282.31 meters
75,How far is 173 from 1st Photo?,400375.44 meters
76,How far is 12 from 14th & Pico?,318611.48 meters
77,How far is 120th & Wadsworth from 17th-Sherry?,51278.25 meters
78,How far is 1st & Indiana from 180 Chiropractic?,110713.82 meters
79,How far is 12 Tee from 2041 Newton Ave?,275389.35 meters
80,How far is 2 from 1930's Colorado River Work Boat?,219330.79 meters
81,How far is 23 from 1st & Cummings?,239553.93 meters
82,How far is 15th St W & Ave J from 11?,309951.93 meters
83,How far is 17 from 19 Sports Bar & Grill?,38276.82 meters
84,How far is 171 from 19th-Harbor?,89730.28 meters
85,How far is 1st & Hope from 1st Street & Hill Street?,374.60 meters
86,How far is 1 from 10th St W & Ave J-12?,289777.26 meters
87,How far is 204A 104A from 17th-Main?,9146.17 meters
88,How far is 103rd Street/Watts Towers from 21 Flavors?,336653.89 meters
89,How far is 11 from 18-8 Men Salon?,191417.66 meters
90,How far is 1 from 171?,70694.29 meters
91,How far is 2 from 01?,131321.24 meters
92,How far is 187 / Pasadena from 17th-Holt?,61386.15 meters
93,How far is 1st-Bristol from 17th-Freeman?,2073.84 meters
94,How far is 11 from 20th & Arizona?,250294.90 meters
95,How far is 13th Tee from 11?,76938.04 meters
96,How far is 10PV from 12 Step Store?,42667.07 meters
97,How far is 100? from 17th-Broadway?,242833.64 meters
98,How far is 14 from 1st-Standard?,202233.89 meters
99,How far is 120 DegreeZ from 2?,8617.27 meters
100,How far is 12 from 1st Wok?,210660.44 meters
101,How far is 11 from 10?,280027.83 meters
102,How far is 119th & Willowbrook from 1st & Cummings?,16385.65 meters
103,How far is 1920 from 20/20 La Jolla Window Cleaner?,38124.49 meters
104,How far is 20th & Washington from 10 Speed Coffee?,23662.04 meters
