ID,Question,Answer
1,What is the nearest car_pooling found west of Calico Ghost Town?,
2,What is the closest social_facility south of Downtown Long Beach?,Villa Redondo
3,What is the closest manhole east of Van Nuys?,
4,What is the nearest shower south of Woodley?,
5,What is the nearest post_depot located north of Pierce College?,The UPS Store
6,What is the nearest courthouse situated west of Venice?,US Bankruptcy Court
7,What is the closest public_bath east of Memorial Park?,Deep Creek Hot Springs
8,What is the nearest place_of_worship found east of Orange Crush?,Gujarati Indian Christian Church
9,What is the nearest Comfort Shoe Store located west of Horse Canyon Saddle?,Feet For Life
10,What is the nearest map situated east of Oneonta Junction?,
11,What is the nearest veterinary_pharmacy found south of San Gabriel?,Pet Pharmacy
12,What is the closest hooklah_lounge located east of Las Positas Meadows?,Xai Verandah Lounge and hookah
13,What is the closest university located west of America Plaza?,USD School of law
14,What is the closest bar north of Mount Whitney?,Players Sports Bar
15,What is the nearest bicycle_parking located south of Buttes Pass?,
16,What is the nearest cooking_school located north of Green Valley Campground?,Claremont Chefs Academy
17,What is the closest ice_cream south of Ski Beach?,Baskin-Robbins
18,What is the closest food_court east of Santee Town Center?,"Subway,starbucks,panda express,arbys."
19,What is the nearest clock east of Oceanside?,
20,What is the nearest townhall found south of Coast Highway?,Carlsbad City Hall
21,What is the nearest restaurant situated south of Yaqui Pass?,Soups and Such Caf́é
22,What is the closest psychic positioned west of End of roadway?,Psychic & Astrology
23,What is the closest library_dropoff positioned west of Lake Fulmor Picnic Area?,
24,What is the nearest hookah_bar found south of Barstow?,Social Hookah Lounge
25,What is the nearest church located north of Four Corners?,Calvary Chapel Children's Church
26,What is the nearest monastery north of Garstin Trailhead?,Sisters Disciples of the Divine Master
27,What is the nearest shower found west of Bermuda Dunes?,
28,What is the nearest music_school located south of Desert Center?,Riff's Music Lessons
29,What is the closest Gymnastics Classes Kids positioned south of Palm Canyon Epic Lower Trailhead?,Momentum Acrobatics
30,What is the closest check_in located south of Sheep Hole Pass?,Ticketing | Check In
31,What is the closest animal_boarding north of Seven Pines Trail?,Coventry Pet Resort
32,What is the closest dojo positioned east of Palm Villa Drive North?,West Coast Krav Maga
33,What is the closest club located west of Palm Villa Drive South?,Mustang Daily
34,What is the nearest arts_centre situated south of Camp de Benneville Pines?,Jurupa Cultural Center
35,What is the closest vehicle_inspection east of Apache Trail?,
36,What is the closest check_in positioned west of Central Ave?,Ticketing | Check In
37,What is the closest kick-scooter_rental positioned west of Golden Era Productions?,
38,What is the nearest local yarn shop located west of Icehouse Saddle?,The Sheared Sheep
39,What is the nearest concert_hall situated west of Menifee Rd?,MCASD Sherwood Auditorium
40,What is the nearest public_building east of Winchester Rd?,Mission Trails Regional Park Headquarters
41,What is the closest theatre located south of Rochester Ave?,Redlands Footlighters Theatre
42,What is the nearest electronic_repair west of Lobecks Pass?,iRepair
43,What is the closest theatre located west of Campus Ave?,Community Performance Stage
44,What is the nearest boat_rental found west of Travertine Road Trailhead?,Paddles and Pedals
45,What is the nearest theatre found west of Desert Hills Presbyterian Church?,Pioneertown Wild West Theater
46,What is the nearest post_office situated north of Archibald Ave?,Mail Center and More
47,What is the closest water_dispenser positioned south of Hermosa Ave?,Watermill Express
48,What is the nearest ski_school located west of Vine Ave?,Virtual Snow
49,What is the closest fast_food located east of Sultana Ave?,Chipotle
50,What is the nearest school found east of Bon View Ave?,Lincoln School
51,What is the nearest courthouse north of Campus Ave?,California Department of Industrial Relations - San Bernardino District office
52,What is the nearest marketplace situated west of Grove Ave?,Claro's Italian Market
53,What is the nearest donation found east of Philadelphia Ave?,Goodwill
54,What is the nearest check_cashing west of Monte Vista Ave?,Nix / Payday Today Check Cashing
55,What is the closest prep_school positioned north of G St?,Keystone Education
56,What is the nearest payment_terminal east of Marlay?,Coinstar
57,What is the nearest car_wash found east of Dahlia St?,Ponderosa Car Wash
58,What is the closest arts_centre located north of Bon View Ave?,Creative Arts Group
59,What is the nearest hookah_lounge found west of Chino Ave?,Nubia Cafe
60,What is the nearest clock found north of Jack in the Box?,Gottlieb Transit Corridor
61,What is the closest research_institute east of Jack in the Box?,Center for Neuroeconomics Studies (CNS)
62,What is the closest place_of_worship positioned north of Hayes Street?,Bear Valley Church
63,What is the nearest place_of_worship found south of Mountain Pointe Camp?,Our Lady of the Snows Catholic Church
64,What is the closest ferry_terminal east of Camp AREV?,"Marina ""Mother's"" Beach"
65,What is the closest police south of Caliente Mountain?,California Highway Patrol Station 14
66,What is the nearest animal_boarding east of Tank Farm Road?,Lucky Dog
67,What is the nearest parcel_locker situated east of Royal Falconer?,Automated Postal Machine
68,What is the nearest spa east of Murietta Divide?,BW Spa
69,What is the nearest trade_school situated east of Alelia Avenue?,Academy of Culinary Arts
70,What is the nearest industrial located east of Rose Ave?,Industrial Fabrications
71,What is the closest sign positioned south of Oxnard?,City of Los Angeles
72,What is the nearest dojo found north of Montgomery Avenue?,Tae Kwon Do Plus
73,What is the nearest public_bookcase located south of Dough Flat?,Little Free Library
74,What is the nearest charity_donation situated south of Ventura Boulevard?,Savers Donation Area
75,What is the nearest bank east of Benjarong Thai Cuisine?,U.S. Bank
76,What is the nearest apartment found south of Party House Restaurant?,Regelin Hall
77,What is the closest snack east of Pho Ha Vietnamese Restaurant?,Turkey Legs
78,What is the nearest car_rental situated north of Arco?,Enterprise
79,What is the closest fast_food south of Boiler Room?,Burgertown USA
80,What is the nearest public_building west of Loma Linda?,Coast Community College District Office
81,What is the nearest public_bath located north of Avenue J?,Remington Hot Springs
82,What is the closest food_court south of No Trespassing Sign?,Warner Brothers Studio Cafeteria
83,What is the nearest language_school situated north of Stop Sign?,Sprachcaffe Language Plus
84,What is the closest dive_centre positioned west of tur?,Depth Perceptions
85,What is the closest convenience_store positioned east of Lincoln Crest?,7-Eleven
86,What is the closest events_venue north of La Canada Open Space Trail Trailhead?,USU East Conference Center
87,What is the nearest stripclub situated south of Stop Sign?,Pacers Showgirls International
88,What is the nearest snack_cart found south of Eagle Junction?,Pretzels Boardwalk
89,What is the nearest public_building situated south of Bear Divide?,Pasadena Senior Center
90,What is the closest hospital located west of La Palma Ave?,Kindred Hospital Westminster
91,What is the nearest sign found south of Eaton Saddle?,City of Los Angeles
92,What is the nearest juice_bar situated north of Oso Road?,Blenders
93,What is the nearest grave_yard situated south of La Zanja Street?,Campbell-Chilwell-Mount Laguna Cemetery
94,What is the closest social_facility positioned south of Del Obispo Street?,Family Recovery Center
95,What is the nearest money_transfer situated south of San Clemente Pier?,Western Union
96,What is the nearest courthouse located north of Paramount Blvd?,Alhambra Trial Court
97,What is the nearest bank located north of Towne Ave?,Wells Fargo
98,What is the nearest marketplace found east of Indian Hill Blvd?,Super Seafood Market
99,What is the closest ferry_terminal east of Santa Clarita?,"Marina ""Mother's"" Beach"
100,What is the nearest water_dispenser located east of White Saddle?,Watermill Express
101,What is the closest post_box positioned south of Spider Bite Gap?,USPS
102,What is the closest disused positioned south of YMCA of the Foothills?,Hawthorne Plaza
103,What is the closest grave_yard positioned east of Lot D?,Wilbur Grave
104,What is the closest Orthopedic Surgeon Torrance south of Outdoor Theatre?,Mellano Orthopedics
105,What is the nearest theatre located north of Blythe?,The Show
106,What is the closest fast_food east of Thousand Oaks?,Chick-fil-A
107,What is the nearest veterinary found north of Box Springs?,Riverside Animal Hospital
108,What is the closest ghost_kitchen positioned north of Los Terrenitos?,Raas Marketplace
109,What is the closest hooklah_lounge west of Houze Place?,Xai Verandah Lounge and hookah
110,What is the nearest po_box situated east of Strawberry Park?,El Toro Mailboxes
111,What is the nearest ice_cream found west of Nortons Landing?,Menchie's
112,What is the closest package_services positioned east of Cudahy?,UPS Customer Center
113,What is the closest yes located east of Las Cantilles?,ChromeCart
114,What is the nearest post_office situated north of Boulder Park?,Mt Laguna Post Office
115,What is the closest public_building north of Ladera Ranch?,Coast Community College District Office
116,What is the nearest dentist south of Calada?,Barstow Dental
117,What is the nearest trailer_park located west of Narod?,Laguna Hills Mobile Home Estates
118,What is the nearest language_school south of Parker Junction?,English Language Centers
119,What is the nearest Window Treatments south of El Mirage?,Carol's Custom Draperies
120,What is the nearest Orthopedic Surgeon Torrance situated south of Franciscan Village?,Mellano Orthopedics
121,What is the closest gold_exchange south of Gypsite?,GoldMax
122,What is the nearest biergarten found north of Keenbrook?,Figueroa Mountain Brewing Company
123,What is the nearest dispensary south of Lincoln Heights?,Southern Lites Collective
124,What is the nearest construction located south of Pauma Valley?,Fish District Eatery
125,What is the closest car_rental located east of Spanish Hills?,Enterprise
126,What is the closest biergarten positioned west of Titus?,Helix Brewing Co
127,What is the closest testing_center positioned north of San Juan Hot Springs?,Prometric Testing Center
128,What is the nearest fast_food south of Silt?,Subway
129,What is the closest electronic_repair located west of The Willows?,iRepair
130,What is the closest coworking_space;daycare positioned east of Wildasin?,Collab&Play
131,What is the nearest dojo located west of Cerro Villa Heights?,American Martial Arts Academy
132,What is the closest check_in positioned west of Good Meadow?,Ticketing | Check In
133,What is the closest smoke_shop located east of Pearland?,Vapor
134,What is the closest fire_station located west of Plaster City?,Jacumba Fire Station
135,What is the closest electronic_repair located east of Tujunga?,iRepair
136,What is the closest school west of Desert Shores?,Oasis Elementary School
137,What is the nearest Orthopedic Surgeon Torrance situated south of Warm Springs?,Mellano Orthopedics
138,What is the closest nursing_home located west of Harbor Hills?,Santa Maria Care Center
139,What is the closest library positioned north of Rochester?,Paul A. Biane Library
140,What is the nearest social_facility east of San Antonio Heights?,Providence Mount Rubidoux
141,What is the closest psychic located south of Robinson Ranch?,Psychic & Astrology
142,What is the nearest food_court north of Falling Springs?,Hacienda Food Court
143,What is the closest Skincare located south of El Sereno?,Sasha Cosmetics
144,What is the nearest charity_donation found north of Montezuma Mesa?,Savers Donation Area
145,What is the nearest karaoke_box located west of Ramona Bowl?,Max Karaoke
146,What is the closest flight_school west of Reward?,Aerocademy
147,What is the nearest marketplace situated south of Taft Heights?,Broadway Discount Center
148,What is the closest auto_towing east of Garey?,Road One Towing
149,What is the nearest restaurant west of Granite Hills?,Crafted Greens
150,What is the nearest coworking_space situated north of Garnet?,GoBuild
151,What is the closest Artificial Grass positioned east of Bell Mountain?,Big Bully Turf
152,What is the nearest biergarten located east of Arbolada?,Eppig Biergarten
153,What is the nearest police located east of Lang?,Los Angeles County Sheriff's Department - Crescenta Valley Station
154,What is the closest theatre west of Kayandee?,Bakersfield Civic Auditorium
155,What is the closest clinic located north of La Mesa?,La Mesa Medical Group
156,What is the closest animal_boarding south of New Cuyama?,Canyon View Ranch
157,What is the nearest fixme situated south of West Saticoy?,Nature’s Juice
158,What is the closest marketplace located east of Aliso?,Irvine Farmers Market at Historic Park
159,What is the closest animal_boarding located west of Limoneira?,Lucky Dog
160,What is the nearest courthouse situated north of Martinez?,Big Bear Superior Court
161,What is the closest radio_station located east of North Ranch?,KKJZ 88.1 campus radio
162,What is the nearest bank situated east of Boiling Point?,Chase
163,What is the closest fuel located south of Heber?,Arco
164,What is the nearest parcel_locker east of Community Center?,HueHue Pronto a Guatemala
165,What is the nearest Addiction Treatment found south of Mead Valley?,Compass Recovery
166,What is the closest snack located south of Waltz?,Turkey Legs
167,What is the nearest hospital located south of Riverside?,Riverside Medical Center (Urgent)
168,What is the nearest bank situated west of Tierra del Sol?,Banorte
169,What is the closest hooklah_lounge south of Honby?,Xai Verandah Lounge and hookah
170,What is the closest photo_booth positioned north of Pinon Hills Estates?,Studio 101 West Photography
171,What is the closest public_bookcase located west of Apple Valley Highlands?,Little Free Library
172,What is the closest fuel positioned east of Rancho Dominguez?,Valero
173,What is the closest pub located east of Minter Village?,Lengthwise Brewing Company
174,What is the closest smoking_area located west of Mountain Mesa?,Hookah
175,What is the closest donation west of Banner?,Goodwill
176,What is the nearest car_wash north of Harmony?,Old Cambria Car Wash
177,What is the nearest ranger_station situated north of Santa Ana Gardens?,Gateway to Nature
178,What is the closest pharmacy located north of Sunny Hills?,Walgreens
179,What is the nearest apartment located east of Rancho Cucamonga?,Regelin Hall
180,What is the nearest charity_donation located south of Magnolia Avenue?,Savers Donation Area
181,What is the nearest courthouse found north of Iris?,Big Bear Superior Court
182,What is the closest biergarten south of Copper City?,Figueroa Mountain Brewing Company
183,What is the closest nursing_home located east of San Dimas?,MONTCLAIR
184,What is the closest po_box positioned east of Naples?,El Toro Mailboxes
185,What is the nearest nightclub found west of Greenacres?,The Savoy
186,What is the nearest post_office south of Moorpark Home Acres?,Somis Post Office
187,What is the nearest grave_yard located east of Santa Ynez?,Olson Cemetery
188,What is the nearest hooklah_lounge west of Anza?,Xai Verandah Lounge and hookah
189,What is the nearest bus_station located north of Baywood Park?,North County Transporation Center
190,What is the nearest ski_school situated west of Descanso Junction?,Virtual Snow
191,What is the nearest lockers found south of North Cucamonga?,South Esplanade Lockers
192,What is the closest cinema positioned west of Calexico Lodge?,AMC Otay Ranch 12
193,What is the nearest salon situated west of Greenfield?,JT Salon
194,What is the nearest hookah_bar situated west of Chollas Creek?,Social Hookah Lounge
195,What is the nearest bureau_de_change situated north of Hathaway Place?,Advance America Cash Advance
196,What is the nearest Website Designer located west of Barnwell?,BizMilk - Orange County Web Design
197,What is the nearest hospital found north of San Marcos?,Regimental Aid Station
198,What is the closest townhall positioned east of Elmore Desert Ranch?,Calipatria City Hall
199,What is the nearest payment_terminal north of Calabasas Highlands?,Coinstar
200,What is the closest food_sharing located north of Victorville?,LA Community Fridge East Palmdale
201,What is the nearest Solar Panel Installation situated west of Mountain View?,Semper Solaris
202,What is the closest club positioned north of West Puente Valley?,Mustang Daily
203,What is the closest university positioned north of Pioneertown?,Phillips Graduate Institute
204,What is the nearest Skincare situated north of North Bay Terraces?,Sasha Cosmetics
205,What is the nearest prison found west of Venus?,Adelanto Correctional Facility
206,What is the closest animal_shelter located south of Buena Creek?,Chula Vista Animal Care Facility
207,What is the nearest hookah_bar south of Mesa Oaks?,Social Hookah Lounge
208,What is the nearest post_office north of Tangair?,Orcutt Post Office
209,What is the nearest club situated north of Del Sur?,Mustang Daily
210,What is the closest pub positioned west of Fruitdale?,Coronado Brewing Company | Brew Pub
211,What is the closest Attorneys west of McCampbell?,Law Office of Raymond Perez
212,What is the nearest college found south of Blue Jay?,Mission Career College
213,What is the nearest fuel;car_wash found east of Malibu Vista?,Shell
