ID,Question,Answer
1,"Which is closer to Golden Era Productions, Jack in the Box or Yoshinoya?",Yoshinoya
2,"Which spot is closer to Jack in the Box, The Vault or Royal Falconer?",Royal Falconer
3,"Which place is closer to Darby's American Cantina, Circle K & Minimart or Benjarong Thai Cuisine?",Benjarong Thai Cuisine
4,"Which spot is closer to Myung GA Tofu and Korean BBQ, Party House Restaurant or Pho Ha Vietnamese Restaurant?",Pho Ha Vietnamese Restaurant
5,"Which is closer to ḾU, Ocean Pho or Arco?",Arco
6,"Which place is closer to Taylor's Cocktail Lounge, Boiler Room or Balboa Island Ferry?",Balboa Island Ferry
7,"Which is nearer to Balboa Island Ferry, YMCA of the Foothills or Lot D?",Lot D
8,"Which is closer in distance to Outdoor Theatre, Ramona Bowl or Camp Irwin Owen?",Camp Irwin Owen
9,"Which is closer to Wellington Heights, Laguna Hills Mobile Home Estates or Chevron?",Chevron
10,"Which is closer in distance to Aquinas High School, Westchester-Loyola Village Branch Library or Wells Fargo?",Wells Fargo
11,"Which location is closer to The Abbey, Pho Dakao or CVS Pharmacy?",CVS Pharmacy
12,"Which place is closer to Wells Fargo, City Of San Gabriel Police Department or Chevron?",Chevron
13,"Which is nearer to Chipotle, Congregation Beth Israel or Leucadia?",Leucadia
14,"Which is nearer to Subarashi, World or Shell?",Shell
15,"Which one is closer to Mobil, Thai Time III or Tapioca Express?",Tapioca Express
16,"Which one is closer to Rite Aid, Carl's Jr. / The Green Burrito or Clairemont Auto Care?",Clairemont Auto Care
17,"Which is nearer to Sipz Fusion Cafe, California Mission Inn or Chevron Mission Car Wash?",Chevron Mission Car Wash
18,"Which place is closer to Los Primos Mexican Food, Shanghai Cafe or The Daily Bagel?",The Daily Bagel
19,"Which is nearer to Yokohama Sushi, Bank of America or Citibank?",Citibank
20,"Which is closer to Pete's Coffee and Tea, Snooze or Flying J?",Flying J
21,"Which one is closer to Hope Christian Fellowship, Dead Horse Trailhead or Arco?",Arco
22,"Which is closer in distance to Chevron, Los Angeles County Fire Department Station #23 or Cafe 222?",Cafe 222
23,"Which is closer in distance to Los Angeles County Fire Department Station #31, LB Fire Station #5 or L B Fire Station #17?",L B Fire Station #17
24,"Which place is closer to Long Beach Fire Department Station #11, Long Beach Fire Department Station #6 or Terminal Island Fire Station?",Terminal Island Fire Station
25,"Which spot is closer to Long Beach Fire Station #3, Long Beach Fire Station #4 or Long Beach Fire Station #7?",Long Beach Fire Station #7
26,"Which is closer in distance to Long Beach Fire Station #13, Long Beach Fire Station #14 or Long Beach Fire Station #15?",Long Beach Fire Station #15
27,"Which spot is closer to Oak View Post Office, Bank of America or NewLife Christian Fellowship?",NewLife Christian Fellowship
28,"Which one is closer to Bank of the West, Applebee's or Round Table Pizza?",Round Table Pizza
29,"Which spot is closer to Dave's Hot Chicken, Fuddruckers or El Torito?",El Torito
30,"Which is closer to Red Lobster, Gurudwara San Diego or Roberto's Taco Shop?",Roberto's Taco Shop
31,"Which one is closer to Jack in the Box, The Hat or Starbucks?",Starbucks
32,"Which spot is closer to Yoshinoya, Ono Hawaiian BBQ or Togo's?",Togo's
33,"Which place is closer to Baskin-Robbins, Pepe's or Little Caesars?",Little Caesars
34,"Which is nearer to Rose Donuts, H. Salt or Taco Bell?",Taco Bell
35,"Which is nearer to El Pollo Loco, Del Taco or Mamma's Brick Oven Pizza & Pasta?",Mamma's Brick Oven Pizza & Pasta
36,"Which is closer in distance to Jack in the Box, Top's or Roadhouse?",Roadhouse
37,"Which is closer in distance to Orange Chicken, Shiki Seafood Buffet or El Pollo Loco?",El Pollo Loco
38,"Which location is closer to McDonald's, Carl's Jr. or El Pollo Loco?",El Pollo Loco
39,"Which place is closer to Jack in the Box, McDonald's or Starbucks?",Starbucks
40,"Which place is closer to Saint Lukes Catholic Church, Walgreens or CVS Pharmacy?",CVS Pharmacy
41,"Which one is closer to Chevron, Mobil or Chase?",Chase
42,"Which location is closer to Kaya Japanese Seafood, Petrillo's or 76?",76
43,"Which is closer in distance to Jamba, Arco or Starbucks?",Starbucks
44,"Which one is closer to Bella Italia, El Taco or Clearman's Galley?",Clearman's Galley
45,"Which is nearer to Ruth's Chris Steak House, San Gabriel Union Church or Wells Fargo?",Wells Fargo
46,"Which one is closer to Barbusa, Subway or Sunland-Tujunga Library?",Sunland-Tujunga Library
47,"Which is closer in distance to Hidden Springs Cafe (closed), Monte Cristo or Clear Creek Fire Station?",Clear Creek Fire Station
48,"Which one is closer to Saint Anthonys Church and School, Baja Fresh or Jersey Mike's Subs?",Jersey Mike's Subs
49,"Which spot is closer to Shell, Taco Bell or Pizza Hut?",Pizza Hut
50,"Which is closer to Chilao, Big Tujunga Station or Sunland-Tujunga Municipal Building?",Sunland-Tujunga Municipal Building
51,"Which spot is closer to kingsburg kitchen, Pasadena First Church of the Nazarene or Popeyes?",Popeyes
52,"Which location is closer to Petrillos Pizza, Hakata Ramen or Mission 76?",Mission 76
53,"Which location is closer to Hong Yei, Fillmore Branch Ventura County Library or Rite Aid?",Rite Aid
54,"Which location is closer to Circle K, 7-Eleven or Fire Department?",Fire Department
55,"Which place is closer to Shell, Fenner Camp or Rock n' Fish?",Rock n' Fish
56,"Which one is closer to Big Wang's, Cafe Etc. or Baja Fresh?",Baja Fresh
57,"Which is closer in distance to Chipotle, Luscious Dumplings 潤豐元餃子 or Jerry's Famous Deli?",Jerry's Famous Deli
58,"Which one is closer to Bossa Nova, Gould Mesa Trail Camp or Camp Hi-Hill?",Camp Hi-Hill
59,"Which spot is closer to La Jolla Presbyterian, Mormon Rocks or Deep Creek Hot Springs?",Deep Creek Hot Springs
60,"Which spot is closer to Beverly Hills Public Library, Einstein Bros. Bagels or The Wits End?",The Wits End
61,"Which spot is closer to The Thai Grill, Backdoor Bakery or Pizza Hut?",Pizza Hut
62,"Which location is closer to Subway, Chiquita's Mexican Food or Flicks?",Flicks
63,"Which spot is closer to Pokéz, Brand Family Gravesite or Acacia School?",Acacia School
64,"Which one is closer to Jane Addams Elementary School, Aggeler High School or Alamo School?",Alamo School
65,"Which place is closer to Alcott Elementary School, Aldama Elementary School or Aliso School?",Aliso School
66,"Which location is closer to All Saints School, All Souls Catholic School or Allen Avenue Elementary School?",Allen Avenue Elementary School
67,"Which place is closer to Ella B Allen-Ann Daly Elementary School, Alpine Elementary School or Alta Loma Elementary School?",Alta Loma Elementary School
68,"Which is nearer to Alta School, Alvarado Intermediate School or Alverno Heights Academy?",Alverno Heights Academy
69,"Which spot is closer to Alvin Elementary School, Alvord Continuation High School or Amar School?",Amar School
