ID,Question,Answer
1,What restaurant is right by Hayama?,Plan Check
2,What restaurant is beside Surfdog's Java Hot,Union Kitchen & Tap
3,What cafe is next to Denise Carolyn?,The Coffee Bean & Tea Leaf
4,What restaurant neighbors Cinespace?,Beso Hollywood
5,What fast_food is right by Chuze Fitness?,Gor Gai Thai Kitchen
6,What cafe is close to University Barber Shop?,Scout Coffee Co.
7,What fast_food neighbors Barsha?,El Gringo
8,What fast_food is beside Morado,Pizza Pizza
9,What fast_food is beside Subway,ZPizza
10,What restaurant is adjacent to 900 Degrees?,Snooty Fox; Baja Fish Tacos
11,What restaurant is beside Cafe Rio,Blaze Pizza
12,What place_of_worship is right by North Hollywood Interfaith Food Pantry?,First Christian Church
13,What cafe is close to UCLA External Affairs?,Trimana
14,What fast_food is adjacent to Sunset & Sunset Plaza?,Wahlburgers
15,What car_rental is right by Scripps Performing Arts Academy?,Avis
16,What fast_food is close to Tobacco Leaf?,Yummys Donuts; Juice It Up!
17,What atm neighbors Burton?,Capital One
18,What fast_food is adjacent to H&R Block?,Frank's Pizza Joint; Subway; Natural Delights Juice Bar
19,What restaurant neighbors The Deck at Moonshine Flats?,Meze Greek Fusion; The Broken Yolk Cafe; Lucky's Lunch Counter
20,What restaurant is near Santa Monica & 20th?,Socalo
21,What vending_machine is next to Wells Fargo?,Redbox; California Lottery
22,What place_of_worship is beside 7-Eleven,Faith Baptist Church
23,What bank is right by Nordstrom Rack?,HSBC
24,What dentist neighbors Drugtown?,Charles C Wood D D S
25,What restaurant is close to Happy Nails?,Round Table Pizza; Gen Sushi; Pan of Asia
26,What pub is near Elite Barber?,The Bulldog Pub
27,What car_wash neighbors 76?,Auto wash
28,What place_of_worship is adjacent to Inyokern Town Hall?,Bethel Missionary Baptist Church
29,What restaurant is beside Indulgence Body and Skin Care Center,Little sister
30,What bar is right by UnityShoppe?,The Good Lion
31,What restaurant is next to The Butcher's Daughter?,Sweetfin
32,What restaurant is next to Fish Gaucho?,The Naked Fish; Next Door Bistro; F. McLintocks Saloon
33,What marketplace is adjacent to Arizona & 5th?,626 Night Market Mini
34,What restaurant is next to Attitudes Salon?,Ginos
35,What restaurant is near Impression Hair Salon?,Tuscan Son
36,What post_office neighbors Lake Arrowhead Village (Upper) East?,Lake Arrowhead Post Office
37,What fast_food is right by O Sushi?,Jamba; Zankou Chicken; Al's Hot Chicken; Fatburger
38,What fast_food is close to The Habit Burger Grill?,Wingstop
