ID,Question,Answer
1,What is the nearest social_centre around North Dairy Mart Pond?,Newport Beach Elks Lodge
2,What is the nearest place_of_worship around Lied Lake?,The Church of Jesus Christ of Latter-day Saints
3,What auto_towing is closest to Lake Gallher?,Road One Towing
5,What is the nearest coworking_space in the vicinity of Quail Lake?,Kernville Cowork
8,What veterinary is nearest to Nike Missile Site LA-43C?,Santa Clarita Animal Hospital - Veterinarian
9,What is the closest electronic_repair to East Wing?,iRepair
10,What is the closest clinic to East Wing?,Garden's Elderly Care
11,What auto_towing is nearest to East Wing?,Road One Towing
12,What is the nearest school;place_of_worship around East Wing?,Dove Day School;South Hills Church of Christ
13,What is the nearest fuel around East Wing?,Circle K
14,What courthouse;library is nearest to Olive View–UCLA Medical Center?,Imperial County Courthouse;Imperial County Law Library
15,What is the closest snack to Knollwood United Methodist Church?,Turkey Legs
17,What Solar Panel Installation is closest to MRCA Open Space?,Semper Solaris
18,What is the closest Orthopedic Surgeon Torrance found near Aeropuerto Internacional General Abelardo L. Rodríguez?,Mellano Orthopedics
20,What animal_training is nearest to Surf & Sand Resort?,Zoom Room
21,What is the nearest canteen around Surf & Sand Resort?,The Anteatery
23,What is the closest fire_station found near Surf & Sand Resort?,Riverside Fire Department Station #7
24,What public_bath is nearest to Surf & Sand Resort?,Remington Hot Springs
25,What is the nearest library around Surf & Sand Resort?,Kaiser Branch Library
26,What is the nearest book_return around Crescent Bay Inn?,Cerritos Library book return
27,What electronic_repair is closest to Crescent Bay Inn?,iRepair
30,What courthouse is closest to Sigma Suites?,San Pedro County Courts Building
32,What is the nearest boat_rental in the vicinity of Mahogany Meadows Park?,Newport Beach Boat Rental
35,What school;place_of_worship is closest to Barona Kumeyaay Band / Kwellyemak?,Dove Day School;South Hills Church of Christ
36,What is the nearest fast_food around Barona Kumeyaay Band / Kwellyemak?,Jollibee
38,What is the nearest prison to Barona Kumeyaay Band / Kwellyemak?,California Institution for Men
39,What Artificial Grass is nearest to Viejas Band of Kumeyaay Indians?,Big Bully Turf
41,What package_services is nearest to Viejas Band of Kumeyaay Indians?,FedEx World Service Center
42,What is the closest pre_school;day_care to Viejas Band of Kumeyaay Indians?,Silverado Children's Center
43,What is the closest snack_stand to Barona Off-Reservtion Trust Land?,Lemonade Small World
44,What is the closest car_rental to Barona Off-Reservtion Trust Land?,U-Haul Truck Rental
45,What cafe is closest to Barona Off-Reservtion Trust Land?,Skyway cafe
46,What is the closest Attorneys to Viejas Off-Reservation Trust Land?,Law Office of Raymond Perez
48,What is the nearest local yarn shop to Sycuan Off-Reservation Trust Land?,The Sheared Sheep
49,What is the closest disused to Sycuan Off-Reservation Trust Land?,Hawthorne Plaza
52,What casino is closest to Little Ewiiaapaayp?,The Commerce Casino
55,What is the closest stripclub found near Baker?,Jumbo's Clown Room
56,What is the nearest canteen in the vicinity of Helendale?,The Anteatery
57,What is the closest snack found near Hidden Meadows?,Turkey Legs
61,What psychic is nearest to Ramona?,Psychic & Astrology
62,What is the nearest motorcycle_rental to Descanso?,EagleRider
64,What is the closest clinic found near Mount Laguna?,Garden's Elderly Care
65,What is the nearest arts_centre around Boulevard?,Hillcrest Center for the Arts
66,What is the closest language_school found near Campo?,Berlitz Language Services
68,What is the closest boat_rental to Eucalyptus Hills?,Newport Beach Boat Rental
70,What is the closest polling_station found near Jamul?,Joslyn Senior Center
71,What is the nearest music_venue in the vicinity of Lincoln Acres?,McCabe's
72,What is the nearest dressing_room to 1st Century Bank?,Locker Rooms
74,What internet_cafe is nearest to Hidden Springs Golf Course?,Slab City Internet Café
75,What nursing_home is closest to Hidden Springs Golf Course?,MONTCLAIR
78,What is the closest childcare to Presidential Park?,YMCA Child Care
79,What post_depot;post_office is closest to Arlington South?,The UPS Store
81,What social_facility is closest to Arco?,Palm Terrace Care Center
83,What polling_station is closest to Arlington?,Joslyn Senior Center
85,What is the closest stripclub found near La Sierra South?,Jumbo's Clown Room
88,What is the nearest planetarium around Yucca Valley?,Samuel Oschin Planetarium
90,What is the nearest dive_centre around Lakeside Middle School?,Depth Perceptions
91,What is the nearest ranger_station in the vicinity of Lakeside Middle School?,Bow Willow Ranger Station
93,What is the nearest monastery around Lakeside Middle School?,Sister Servants of Mary
95,What is the nearest pub to Lakeside Middle School?,"Maginn's Pub: Beer, Whiskey & Fine Food"
96,What is the closest dentist found near Irvine Inn?,"Three Sixty Dentistry: Brian Edwards DDS, Amanda Jenney DDS & Stephanie Colletta DDS"
98,What is the nearest car_rental around Joshua Tree?,U-Haul Truck Rental
99,What is the closest university found near Joshua Tree Wilderness?,California Lutheran University
101,What is the closest baby_hatch found near Joshua Tree Wilderness?,Slo City Midwives
103,What is the nearest fast_food in the vicinity of Joshua Tree Wilderness?,Jollibee
106,What university is closest to Joshua Tree Wilderness?,California Lutheran University
107,What restaurant is closest to Joshua Tree Wilderness?,Big Joe's Tacos
108,What university is closest to Richland Community Garden?,California Lutheran University
109,What is the nearest clinic in the vicinity of Richland Community Garden?,Garden's Elderly Care
110,What is the nearest Addiction Treatment to Friends Fountain?,Compass Recovery
111,What is the nearest casino around Sun City?,The Commerce Casino
112,What is the nearest check_in in the vicinity of Menifee?,Ticketing | Check In
114,What is the nearest vehicle_inspection in the vicinity of Hill Section?,Smog Inspection
115,What is the nearest college to Cibola?,WVOC High School Equivalency Preparation
118,What is the closest baby_hatch found near Rancho Palos Verdes City Hall?,Slo City Midwives
119,What is the nearest Comfort Shoe Store to West Hills Neighborhood Council District?,Feet For Life
120,What charity_donation is closest to Alliance Jack H. Skirball Middle School?,Savers Donation Area
121,What training is closest to Alliance Jack H. Skirball Middle School?,Manhattan Actor Studio
123,What is the closest language_school to Pala Mesa Golf Course?,Berlitz Language Services
124,What is the nearest food_sharing in the vicinity of Pala Mesa Golf Course?,LA Community Fridge East Palmdale
126,What is the nearest charging_station in the vicinity of Reseda Park and Recreation Center?,Tesla Supercharger
127,What is the nearest trade_school in the vicinity of Camposanto?,West Valley Occupational Center
130,What is the nearest school to Woodland Hills Country Club?,Calico High School
132,What arts_centre is closest to Baldy Mesa Solar?,Hillcrest Center for the Arts
133,What courthouse is nearest to Baldy Mesa Solar?,San Pedro County Courts Building
134,What townhall is nearest to Baldy Mesa Solar?,Camarillo City Hall
135,What is the closest veterinary_pharmacy found near Baldy Mesa Solar?,Pet Pharmacy
136,What is the nearest public_bath to Baldy Mesa Solar?,Remington Hot Springs
137,What is the nearest parcel_locker to Estrella Solar?,HueHue Pronto a Guatemala
138,What cooking_school is nearest to Estrella Solar?,Claremont Chefs Academy
139,What is the nearest karaoke_box around Mesquite Dry Lake?,Max Karaoke
140,What monastery is nearest to Etiwanda Conservation Basins?,Sister Servants of Mary
141,What is the nearest charity_donation to Etiwanda Conservation Basins?,Savers Donation Area
142,What is the nearest payment_terminal in the vicinity of Etiwanda Conservation Basins?,Coinstar
143,What music_school is nearest to Etiwanda Conservation Basins?,Mostly Saxes
146,What is the nearest art_work to Raceway Solar?,Stanley
148,What is the nearest testing_center around Bevel Apartments?,Prometric Testing Center
149,What smoke_shop is closest to Bell Canyon?,Vapor
150,What is the nearest bear_box to SSFL South Buffer?,Gould Mesa Trail Camp
153,What is the closest fuel;car_wash found near Box Canyon?,Chevron
154,What is the nearest studio in the vicinity of Oak Park?,Ciara Dance Studio
155,What ferry_terminal is nearest to Lynn Ranch?,Island Packers
156,What is the nearest childcare to Rolling Oaks Ranch?,YMCA Child Care
157,What fuel;car_wash is nearest to Casa Conejo?,Chevron
159,What is the closest music_school found near 76?,Mostly Saxes
160,What is the closest auto_towing to 76?,Road One Towing
161,What is the nearest snack_cart around Anteater Recreation Center?,Popcorn Small World
163,What music_school is nearest to Edwards Air Force Base?,Mostly Saxes
164,What Comfort Shoe Store is closest to Cagney Ranch Estates?,Feet For Life
168,What is the nearest animal_shelter in the vicinity of Northridge View Estates?,Ventura County Animal Services
170,What testing_center is nearest to Ocean View Hills?,Prometric Testing Center
172,What Artificial Grass is nearest to Santa Felicia Dam?,Big Bully Turf
175,What courthouse is closest to Southwest Industrial Park?,San Pedro County Courts Building
176,What is the closest police found near Coyote Canyon?,Kern County Sherrif's Department
177,What is the closest animal_training to Elsmere Canyon?,Zoom Room
178,What is the nearest bicycle_rental to Elsmere Canyon?,Newbury Park Bike Shop
179,What is the closest fuel;car_wash to Whitney Canyon Park?,Chevron
180,What is the closest book_return found near Whitney Canyon Park?,Cerritos Library book return
184,What is the closest public_bath found near Basin 4?,Remington Hot Springs
186,What is the nearest Addiction Treatment to Basin 2?,Compass Recovery
187,What is the nearest bicycle_rental around Burbank Bridge (L.A. River)?,Newbury Park Bike Shop
190,What is the closest cooking_school to San Diego-La Jolla Underwater Park?,Claremont Chefs Academy
191,What is the nearest dive_centre to Hole #2 Fairway?,Depth Perceptions
193,What monastery is nearest to Hole #1 fairway?,Sister Servants of Mary
195,What archive is closest to Gates King Open Space?,Academy of Motion Picture Arts and Sciences Film Archive
196,What conference_centre is closest to Table Mountain ACEC?,Long Beach Civic Center
197,What is the closest Casting_Center found near In-Ko-Pah Mountains ACEC?,Disneyland Resort Casting Center
198,What dressing_room is nearest to Cedar Canyon ACEC?,Locker Rooms
199,What is the nearest coworking_space around Lake Lindero Golf Course?,Kernville Cowork
200,What is the closest animal_shelter to Lake Lindero Golf Course?,Ventura County Animal Services
201,What is the closest planetarium found near Lake Lindero Golf Course?,Samuel Oschin Planetarium
203,What is the closest snack to Bluff Park?,Turkey Legs
204,What Website Designer is closest to Bluff Park?,BizMilk - Orange County Web Design
205,What coffee is nearest to Bluff Park?,Bikes and Brew
206,What driver_training is closest to Lot 10?,Operating Engineers Training Trust - Devore
207,What is the nearest car_rental to Lot 8?,U-Haul Truck Rental
208,What fuel;atm is nearest to Belmont Shore?,Chevron
209,What is the closest post_depot;post_office to Belmont Shore?,The UPS Store
210,What is the nearest cooking_school in the vicinity of San Elijo Lagoon?,Claremont Chefs Academy
211,What fuel is nearest to San Elijo Lagoon?,Circle K
212,What is the closest mortuary found near San Elijo Lagoon?,Los Angeles County Coroner
213,What radio_station is nearest to San Elijo Lagoon?,KKJZ 88.1 campus radio
216,What is the nearest kitchen;coworking_space in the vicinity of San Elijo Lagoon?,The Kitchen Station
218,What dancing_school is nearest to Lot 4?,West LA Academy of Dance
219,What is the closest auto_towing found near San Fernando Mall?,Road One Towing
222,What is the closest theatre found near Arco?,Taft Senior Quad Stage
223,What is the nearest internet_cafe around Arco?,Slab City Internet Café
225,What is the closest reception_desk to Recreation Park 9 Golf Course?,Guest Services
229,What is the nearest grave_yard in the vicinity of El Monte?,Olson Cemetery
230,What is the closest psychic to Brookside Golf Club?,Psychic & Astrology
233,What polling_station is closest to Ponderosa Park Family Resource Center?,Joslyn Senior Center
237,What is the nearest car_sharing to Oxnard Power Plant?,Zipcar
239,What is the nearest spa to Quail Springs Wetlands?,BW Spa
240,What is the nearest mortuary in the vicinity of Quail Springs Wetlands?,Los Angeles County Coroner
241,What is the closest industrial to Quail Springs Wetlands?,Industrial Fabrications
242,What is the nearest convenience_store around UCI Medical Center - Irvine - North Campus?,7-Eleven
243,What is the closest hooklah_lounge to UCI Medical Center - North Campus?,Xai Verandah Lounge and hookah
244,What canteen is nearest to Alsace LA?,The Anteatery
245,What is the closest hospital found near Calico Estates?,Riverside University Health System - Arlington Mental Health Facility
246,What dressing_room is closest to Calico Estates?,Locker Rooms
248,What is the closest Website Designer to Huntington Beach Wetlands?,BizMilk - Orange County Web Design
