ID,Question,Answer
1,What are the amenities within 100m of Muffler Man?,waste_basket
2,"What amenities exist within 100m of Hologic, Inc.?",No amenities found
3,What amenities can be found within 100m of Culichi Town Restaurant?,dentist; dojo; restaurant
4,What amenities exist within 100m of Golden Lantern-Via Ladera?,bank
5,What are the amenities within 100m of Hawes Auxiliary Airport?,No amenities found
6,What amenities can be found within 100m of Ponto State Beach?,No amenities found
7,What amenities are within 100m of Chevron?,No amenities found
8,What are the amenities located within 100m of Merchant Metals?,No amenities found
9,What are the amenities within 100m of CP CO244?,No amenities found
10,What are the amenities located within 100m of James Monroe Junior High School?,place_of_worship; school
11,What amenities are located within 100m of Drinkwater Canyon?,No amenities found
12,What amenities can be found within 100m of 4inkjets?,No amenities found
13,What amenities are within 100m of West Coast Surrogacy?,cafe; family_planning; psychic; studio
14,What amenities are within 100m of Colorado & Argus?,restaurant
15,Which amenities are within 100m of Big 5 Sporting Goods?,ice_cream
16,Which amenities are within 100m of It's a Doodle Pet Grooming?,driving_school; social_facility
17,What amenities are within 100m of Metro 78?,No amenities found
18,What amenities can be found within 100m of Eastern / Live Oak?,restaurant
19,What amenities are within 100m of Beads?,cafe; post_office; restaurant
20,What are the amenities within 100m of Moonstone Beach Bar and Grill?,restaurant
21,Which amenities are within 100m of Taft City Hall?,townhall
22,What are the amenities located within 100m of School Of Behavioral and Applied Sciences?,library; social_centre; theatre; university
23,What are the amenities located within 100m of Marriage?,bank; cafe; fast_food; marketplace; pharmacy; restaurant
24,What amenities can be found within 100m of Los Angeles Bahá'í Center?,place_of_worship; school
25,What amenities exist within 100m of West Riverside Memorial Park?,No amenities found
26,What are the amenities located within 100m of Moulton-Indian Hill?,No amenities found
27,What amenities exist within 100m of Nothing Bundt Cakes?,cafe; clinic; ice_cream
28,Which amenities are within 100m of Stitch & Feather?,cafe; restaurant
29,What amenities exist within 100m of Stop Sign?,No amenities found
30,What are the amenities within 100m of Nike?,bar; cafe; ice_cream; parking_entrance; restaurant
31,"Which amenities are within 100m of Foothill Transit 190, 488?",No amenities found
32,What amenities exist within 100m of CP Basta?,No amenities found
33,What amenities can be found within 100m of Red Brick Pizza?,restaurant
34,What amenities are within 100m of El Kora?,fast_food; restaurant
35,What amenities are within 100m of FuelRod?,atm; drinking_water; vending_machine
36,What are the amenities located within 100m of Gaskill Peak?,No amenities found
37,What are the amenities located within 100m of The Home Depot?,No amenities found
38,What amenities are located within 100m of Mount Rudolph?,No amenities found
39,What amenities can be found within 100m of T-Mobile?,bar; cafe; fast_food; restaurant
40,What amenities can be found within 100m of Mar Vista Psychic Advisor?,bicycle_rental; fast_food; library; restaurant; veterinary
41,Which amenities are within 100m of Tustin-4th?,No amenities found
42,What amenities are located within 100m of Foothill Transit 272?,No amenities found
43,What are the amenities located within 100m of Maggio's Pizza?,post_office; restaurant
44,Which amenities are within 100m of Shoe Locker?,bicycle_parking
45,What amenities are within 100m of KMNY-AM (Pomona)?,No amenities found
46,Which amenities are within 100m of Tech on the Go?,drinking_water; fast_food; pub; toilets; vending_machine
47,What are the amenities located within 100m of Linder's Furniture?,clock
48,Which amenities are within 100m of The Joint Chiropractic?,restaurant
49,What amenities exist within 100m of NUDA Juice & Wellness Shop?,cafe; parking; place_of_worship; restaurant; theatre
50,What are the amenities within 100m of El Sueno?,No amenities found
51,What amenities exist within 100m of Royal India Express?,cafe; drinking_water; fast_food; food_court; ice_cream; restaurant
52,What amenities are located within 100m of Printop Printing and Graphics?,cafe; dentist; fast_food; post_box; prep_school; restaurant
53,What amenities are located within 100m of Sherwin-Williams?,cafe; library
54,What amenities are located within 100m of El Toro-Calle Corta?,No amenities found
55,What amenities can be found within 100m of Argosy University - Orange County Campus?,school
56,Which amenities are within 100m of Foothill & Cocopah?,No amenities found
57,What are the amenities located within 100m of Ocean & Arizona?,bicycle_parking; bicycle_rental; drinking_water; fountain
58,Which amenities are within 100m of Petco?,No amenities found
59,What amenities exist within 100m of Circle of Faith Ministries?,fuel; place_of_worship
60,What amenities exist within 100m of Dos Burritos?,bicycle_rental; cafe; restaurant
61,What amenities exist within 100m of Elephant Mountain?,No amenities found
62,What amenities are located within 100m of Glassell-Fletcher?,No amenities found
63,What amenities exist within 100m of 3rd @ Arrowhead Eastbound?,No amenities found
64,Which amenities are within 100m of County of Los Angeles - Department of Public Social Services?,No amenities found
65,What amenities can be found within 100m of Platinum Ballroom 7 South Entrance?,fountain; parking_entrance
66,What amenities are located within 100m of 3700?,No amenities found
67,What amenities can be found within 100m of Riverside County Fire Department Station #9?,fire_station
68,What amenities are within 100m of Newhall?,public_transport_tickets; telephone; vending_machine
69,What amenities exist within 100m of Campo Materials Pit?,No amenities found
70,What amenities are within 100m of AAA Optometrist?,clinic; dentist; social_facility
